"";"porte";"n"
"1";"PF - Acima de 20 salários mínimos            ";109
"2";"PF - Até 1 salário mínimo                    ";67
"3";"PF - Indisponível                            ";48
"4";"PF - Mais de 1 a 2 salários mínimos          ";90
"5";"PF - Mais de 10 a 20 salários mínimos        ";101
"6";"PF - Mais de 2 a 3 salários mínimos          ";110
"7";"PF - Mais de 3 a 5 salários mínimos          ";110
"8";"PF - Mais de 5 a 10 salários mínimos         ";104
"9";"PF - Sem rendimento                          ";54
"10";"PJ - Grande                                  ";137
"11";"PJ - Indisponível                            ";37
"12";"PJ - Médio                                   ";879
"13";"PJ - Micro                                   ";1531
"14";"PJ - Pequeno                                 ";1629
